Time Stamp, Noise Level, Humidity, Temperature (*C)
2/21 18:54:32,25.46,38.00,18.00
2/21 18:54:33,24.81,38.00,18.00
2/21 18:54:34,25.78,38.00,18.00
2/21 18:54:35,25.78,38.00,18.00
2/21 18:54:36,24.81,38.00,18.00
2/21 18:54:37,26.10,38.00,18.00
2/21 18:54:39,25.46,38.00,18.00
2/21 18:54:40,24.81,38.00,18.00
2/21 18:54:41,25.14,38.00,18.00
2/21 18:54:42,25.78,38.00,18.00
2/21 18:54:43,23.20,38.00,18.00
2/21 18:54:44,25.14,38.00,18.00
2/21 18:54:46,25.14,38.00,18.00
2/21 18:54:47,25.14,38.00,18.00
2/21 18:54:48,24.81,38.00,18.00
2/21 18:54:49,24.81,38.00,18.00
2/21 18:54:50,24.81,38.00,18.00
2/21 18:54:51,25.78,38.00,18.00
2/21 18:54:53,25.46,38.00,18.00
2/21 18:54:54,26.10,38.00,18.00
2/21 18:54:55,25.78,38.00,18.00
2/21 18:54:56,25.46,38.00,18.00
2/21 18:54:58,25.78,38.00,18.00
2/21 18:54:59,25.14,38.00,18.00
2/21 18:55:0,25.14,38.00,18.00
2/21 18:55:1,25.14,38.00,18.00
2/21 18:55:2,24.81,38.00,18.00
2/21 18:55:3,24.81,38.00,18.00
2/21 18:55:5,25.14,38.00,18.00
2/21 18:55:6,25.14,38.00,18.00
2/21 18:55:7,25.78,38.00,18.00
2/21 18:55:8,25.14,38.00,18.00
2/21 18:55:9,26.10,38.00,18.00
2/21 18:55:10,25.78,38.00,18.00
2/21 18:55:12,25.46,38.00,18.00
2/21 18:55:13,25.78,38.00,18.00
2/21 18:55:14,25.46,38.00,18.00
2/21 18:55:15,24.81,38.00,18.00
2/21 18:55:16,25.46,38.00,18.00
2/21 18:55:17,25.14,38.00,18.00
2/21 18:55:18,25.14,38.00,18.00
2/21 18:55:19,24.81,38.00,18.00
2/21 18:55:20,25.14,38.00,18.00
2/21 18:55:21,23.85,38.00,18.00
2/21 18:55:22,25.14,38.00,18.00
2/21 18:55:24,25.46,38.00,18.00
2/21 18:55:25,25.14,38.00,18.00
2/21 18:55:26,25.46,38.00,18.00
2/21 18:55:27,24.81,38.00,18.00
2/21 18:55:28,25.46,38.00,18.00
2/21 18:55:29,25.14,38.00,18.00
